owner,C_flops,depth,alpha,P_bal,delta,delta_ci_lo,delta_ci_hi,source_file
w24/300k,3.347e+17,3,0.0,0.14136890600338245,1.3868331091429327,1.300486204455955,1.4793036074377575,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,6,1.0,0.0,-2.355985717628073e-08,-8.346399134051552e-08,3.11860856472279e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,6,0.75,0.03287799841610715,0.4831122856953929,0.4353488968361059,0.535795984148589,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,6,0.5,0.0657559968322143,0.9256276906732435,0.8510784287637628,1.0053893810885013,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,6,0.25,0.09863399524832146,1.2603631362673355,1.1729484257810707,1.3534213105422903,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,6,0.0,0.1315119936644286,1.5264482938761805,1.431776837580008,1.625936582858201,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,9,1.0,0.0,-3.3239639485316275e-08,-8.67579173169375e-08,2.1243508063761848e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,9,0.75,0.029929854005704627,0.23282549089376037,0.20623593777895236,0.263197140481959,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,9,0.5,0.05985970801140925,0.5260657110935592,0.47413122830090493,0.5823120713491131,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,9,0.25,0.08978956201711388,0.7812437224166606,0.7131878960831739,0.854592187589816,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,9,0.0,0.1197194160228185,0.9984977326669289,0.9192736237775121,1.0829592923834814,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
