architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,matched-compute-LOW,LOW,1024,32,ridgeless,0.0,common,0.4565353566896388,0.4162397587239055,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,64,rho_0.0001,0.0001,common,0.22658193616470895,0.26069520043168704,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,64,rho_0.01,0.01,common,0.2627917149629254,0.28519593384653774,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,64,rho_0.1,0.1,common,0.35611301482228774,0.37210997897623665,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,64,rho_1e-06,1e-06,common,0.2317031100342968,0.26042540699899497,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,64,rho_1e-08,1e-08,common,0.23192451870211056,0.26017494124549667,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,64,ridgeless,0.0,common,0.2319271250667774,0.2603267135101991,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,128,rho_0.0001,0.0001,common,0.14825417953194464,0.1474314802408337,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,128,rho_0.01,0.01,common,0.16822432026898304,0.16703845244787652,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,128,rho_0.1,0.1,common,0.21968136479694356,0.22611366483062567,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,128,rho_1e-06,1e-06,common,0.14780268608536412,0.1470068331727555,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,128,rho_1e-08,1e-08,common,0.14734666103032437,0.14717258371898784,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
