architecture,budget_tier,owner_tag,split_seed,n,rho,ridge_setting,ridge_value,train_diag_mean,test_atoms,train_block_dimension,effective_numerical_rank_train,rcond,test_nmse,selected_rho,is_selected,inner_val_nmse,n_inner_val_atoms,source_file
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,512,0.0,ridgeless,0.0,105.93714905432883,256,1536,1536,1e-10,0.33840478111526406,0.01,False,0.17599508682558448,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,512,1e-08,rho_1e-08,1.0593714905432883e-06,105.93714905432883,256,1536,1536,1e-10,0.33840477796286383,0.01,False,0.1759950862634662,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,512,1e-06,rho_1e-06,0.00010593714905432883,105.93714905432883,256,1536,1536,1e-10,0.33840446588909795,0.01,False,0.17599503061832603,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,512,0.0001,rho_0.0001,0.010593714905432884,105.93714905432883,256,1536,1536,1e-10,0.3383733965284509,0.01,False,0.17598951157362525,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,512,0.01,rho_0.01,1.0593714905432883,105.93714905432883,256,1536,1536,1e-10,0.33621707759202724,0.01,True,0.17576959330790215,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,512,0.1,rho_0.1,10.593714905432883,105.93714905432883,256,1536,1536,1e-10,0.3333354926409657,0.01,False,0.18064047912693829,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,32,0.0,ridgeless,0.0,102.74943174105829,256,96,96,1e-10,0.7756167411793518,0.0,True,0.8986613498543597,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,32,1e-08,rho_1e-08,1.0274943174105829e-06,102.74943174105829,256,96,96,1e-10,0.7756167439052788,0.0,False,0.8986613544759465,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,32,1e-06,rho_1e-06,0.00010274943174105828,102.74943174105829,256,96,96,1e-10,0.7756170137707229,0.0,False,0.8986618120107843,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,2,32,0.0001,rho_0.0001,0.010274943174105829,102.74943174105829,256,96,96,1e-10,0.7756439869439428,0.0,False,0.8987075429513015,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
