architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
eSEN,dense-grid-CROSS,CROSS,1024,32,rho_1e-06,1e-06,common,0.18384451179035657,0.176724238601555,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,32,rho_1e-08,1e-08,common,0.18384040348291336,0.17672046550784418,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,32,ridgeless,0.0,common,0.1838403618525416,0.17672042736878796,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,64,rho_0.0001,0.0001,common,0.06984806656026765,0.07984115946056526,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,64,rho_0.01,0.01,common,0.07242129039863932,0.08761964428838047,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,64,rho_0.1,0.1,common,0.09889847124782397,0.116474490817185,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,64,rho_1e-06,1e-06,common,0.06990521168536012,0.07964019685641167,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,64,rho_1e-08,1e-08,common,0.0699058058171043,0.07963633552213858,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,64,ridgeless,0.0,common,0.06990581182099162,0.07963632866398909,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,128,rho_0.0001,0.0001,common,0.03251398683780633,0.037764230558012576,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
