metric,architecture,architecture_label,fit_domain,truncation_frac,n_widths,n_frontier_owners_total,gamma_event_point_ols,gamma_nls_rawloss,gamma,logA,r2,rmse_log,C_min,C_max,decades,n_grid_used,n_frontier_owners_in_range,source_file
canonical_f_loss,esen,eSEN (lmax=4),common,0.75,11,66,0.43756490539335496,0.4683372514948333,0.466420247351303,14.016093559504263,0.989219178951537,0.05261198937938161,8490496806204098.0,3.533085423239417e+17,1.619221035019931,256,38,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,mpnn,MPNN,common,1.0,17,76,0.1346966155722178,0.13652676885307213,0.13365466120949462,2.321560164323759,0.9918011242586053,0.017507146836019012,8490496806204098.0,1.224318700299612e+18,2.158961380026575,256,47,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,egnn,MC-EGNN,common,1.0,5,24,0.16468772992849526,0.1968633867205265,0.1838766139692357,3.7273997559459957,0.9697404828294436,0.04679464344655991,8490496806204098.0,1.224318700299612e+18,2.158961380026575,256,19,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,gemnet_oc,GemNet-OC,common,1.0,14,54,0.22360217768847238,0.23278349354010433,0.22311305543930907,4.533800057764853,0.992355039832143,0.028212753096227134,8490496806204098.0,1.224318700299612e+18,2.158961380026575,256,49,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,esen,eSEN (lmax=4),common,1.0,11,66,0.4104551440768831,0.4587512063603163,0.4357501296953749,12.845651925812641,0.9905755431935138,0.06123338941705385,8490496806204098.0,1.224318700299612e+18,2.158961380026575,256,63,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
wandb_f_loss_val,mpnn,MPNN,native_observed,1.0,17,77,0.13887872434530746,0.1408380083491756,0.13982296249689893,2.4686397655395056,0.9971218863908015,0.01983783899967022,135037123564950.73,1.2243187087785516e+18,3.9574413075414756,256,77,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
wandb_f_loss_val,egnn,MC-EGNN,native_observed,1.0,5,26,0.1458592641776863,0.1703182347224169,0.1561600859513513,2.5736704577233307,0.9692203149688886,0.05332741885401561,7700118100371672.0,5.730484626308121e+18,2.871693965541516,256,26,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
wandb_f_loss_val,gemnet_oc,GemNet-OC,native_observed,1.0,14,49,0.24136696926395482,0.2599658323553123,0.24776906500763748,5.4069923985092645,0.9908389204929596,0.043953022541263924,2862760974856381.5,1.6652793813555057e+18,2.7647020165888545,256,49,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
wandb_f_loss_val,esen,eSEN (lmax=4),native_observed,1.0,11,65,0.41531555482151694,0.4579402654550097,0.4397412740282467,12.765690915853385,0.9922267826108675,0.057398681287397675,8490497198126212.0,1.37693189820057e+18,2.2099793379801915,256,65,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
wandb_f_loss_val,mpnn,MPNN,common,0.5,17,77,0.13982007940603816,0.14184332904385094,0.14129830704696925,2.511768211143933,0.9957722111055868,0.00663208396232175,8490497198126212.0,1.0195623848739122e+17,1.07948068149359,256,31,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
