architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,K0,,256,8,ridgeless,0.0,raw_force,6.347156139385477,28.882979969076484,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,rho_1e-4,0.0001,raw_force,1.138611507504255,1.4018684179653238,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,rho_1e-6,1e-06,raw_force,2.50128757725079,7.829799337716757,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,rho_1e-8,1e-08,raw_force,6.341949767761519,15.615190782259447,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,ridgeless,0.0,raw_force,6.6135169055763585,16.286875785038863,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,rho_1e-4,0.0001,raw_force,1.132279525330796,1.3741883173638172,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,rho_1e-6,1e-06,raw_force,3.1821900879750014,12.219303403339142,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,rho_1e-8,1e-08,raw_force,9.368567452084488,29.00749431418766,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,ridgeless,0.0,raw_force,11.238584422623042,31.245103599264137,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,rho_1e-4,0.0001,raw_force,1.1074546484135697,1.2470163512512626,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,rho_1e-6,1e-06,raw_force,5.249108958720199,14.047826852314765,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,rho_1e-8,1e-08,raw_force,10.20513370803611,32.08786986900361,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,ridgeless,0.0,raw_force,11.502431601565991,36.29877131782659,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,rho_1e-4,0.0001,raw_force,1.1493054476121913,1.2997577243504252,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,rho_1e-6,1e-06,raw_force,7.179267547404136,13.938957966913474,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,rho_1e-8,1e-08,raw_force,38.94167872939588,64.55648310441745,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,ridgeless,0.0,raw_force,40.003705480278846,45.458923788201375,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,rho_1e-4,0.0001,raw_force,1.1339662644920234,1.1730364241903766,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,rho_1e-6,1e-06,raw_force,6.506776471328378,11.15139075184771,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,rho_1e-8,1e-08,raw_force,58.353262785768564,67.2923974697369,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,ridgeless,0.0,raw_force,36.76522987712126,64.47849869403085,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,8,rho_1e-4,0.0001,raw_force,1.1681270726862336,1.496810294644177,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,8,rho_1e-6,1e-06,raw_force,2.4960037947713234,11.704557476704892,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,8,rho_1e-8,1e-08,raw_force,6.7484420622170465,28.629215256906186,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,8,ridgeless,0.0,raw_force,7.077676285507294,29.4251712297714,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,rho_1e-4,0.0001,raw_force,1.120557912251626,1.2188036944712324,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,rho_1e-6,1e-06,raw_force,2.7547819433422704,5.295380325568057,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,rho_1e-8,1e-08,raw_force,5.7819517221607715,10.445802237177368,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,16,ridgeless,0.0,raw_force,5.916060866358676,11.280251494236325,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,rho_1e-4,0.0001,raw_force,1.115901935374537,1.1913150155055803,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,rho_1e-6,1e-06,raw_force,3.0186728852144378,5.239093255070272,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,rho_1e-8,1e-08,raw_force,7.859900929136006,15.94253192288601,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,32,ridgeless,0.0,raw_force,11.470130404612997,22.892494944324543,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,rho_1e-4,0.0001,raw_force,1.0954668984031892,1.127085315226431,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,rho_1e-6,1e-06,raw_force,3.257276843580761,6.3522192646910405,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,rho_1e-8,1e-08,raw_force,10.2675690101992,38.21785350631619,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,64,ridgeless,0.0,raw_force,10.278432582210897,38.91613009389979,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,rho_1e-4,0.0001,raw_force,1.1249080397811086,1.1889131359297778,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,rho_1e-6,1e-06,raw_force,6.3453221226004874,18.030098100489894,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,rho_1e-8,1e-08,raw_force,39.52968507882649,142.06886342230732,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,96,ridgeless,0.0,raw_force,32.12738141781007,191.7541425363401,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,rho_1e-4,0.0001,raw_force,1.10361404428166,1.185139058194542,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,rho_1e-6,1e-06,raw_force,7.62408099633725,12.757066377769572,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,rho_1e-8,1e-08,raw_force,56.199686255896886,202.58755077321428,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,128,ridgeless,0.0,raw_force,49.29002344461057,186.93827770815585,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,8,rho_1e-4,0.0001,raw_force,1.1335116858464005,1.3558851359693027,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,8,rho_1e-6,1e-06,raw_force,1.1335501510778028,1.3561894773211187,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,8,rho_1e-8,1e-08,raw_force,1.1335505358520694,1.3561925244020636,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,8,ridgeless,0.0,raw_force,1.1335505397386907,1.3561925551810303,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,16,rho_1e-4,0.0001,raw_force,1.1830808771249612,1.367780910223609,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,16,rho_1e-6,1e-06,raw_force,1.1832115169378636,1.3681130137390318,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,16,rho_1e-8,1e-08,raw_force,1.1832128248056355,1.368116339030014,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,16,ridgeless,0.0,raw_force,1.1832128380165698,1.3681163726192422,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,32,rho_1e-4,0.0001,raw_force,1.2322412127388096,1.2844079294492479,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,32,rho_1e-6,1e-06,raw_force,1.2324211567506609,1.284624529187592,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,32,rho_1e-8,1e-08,raw_force,1.2324229580988302,1.284626697617162,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,32,ridgeless,0.0,raw_force,1.2324229762944596,1.2846267195207373,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,64,rho_1e-4,0.0001,raw_force,1.2254744988769355,1.337953254334005,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,64,rho_1e-6,1e-06,raw_force,1.2257118413995913,1.3382348167353872,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,64,rho_1e-8,1e-08,raw_force,1.2257142187068801,1.3382376358357015,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MPNN,K0,,256,64,ridgeless,0.0,raw_force,1.225714242720478,1.3382376643118143,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
