tag,domain,M,alpha,P_bal,L_baseline,L_int,delta,delta_ci_lo,delta_ci_hi,loss_multiplier,source_file
w16/150k,ID,1024,0.25,0.07038633913198611,0.011627312695639512,0.021415798223385924,0.6107720111566777,0.5588071448535693,0.665964868660455,1.8418527809454455,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,1024,0.0,0.09384845217598148,0.011627312695639512,0.025960471144326012,0.8032181672805749,0.7403150586437498,0.868722857849833,2.232714628381994,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,2048,1.0,0.0,0.011260685928752715,0.011260685866719586,-5.508822731314922e-09,-3.3043148950362425e-08,2.3011927496874292e-08,0.9999999944911773,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,2048,0.75,0.02346211304399537,0.011260685928752715,0.013207312005185094,0.15945307785892737,0.14729806722840946,0.17198385886423498,1.1728692273942147,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,2048,0.5,0.04692422608799074,0.011260685928752715,0.016856734557664566,0.4034327158093838,0.37651968605750946,0.4302870162903531,1.4969545074179778,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,2048,0.25,0.07038633913198611,0.011260685928752715,0.02110576901057842,0.6282288777830289,0.5910450072694463,0.6648074002807343,1.8742880446285741,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,2048,0.0,0.09384845217598148,0.011260685928752715,0.025677684453967356,0.8243047673660997,0.7799912192377779,0.8675486625050273,2.280294878698525,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,4096,1.0,0.0,0.011183429339611955,0.011183429254120369,-7.64448770951276e-09,-2.7761971521655936e-08,1.3026158351969701e-08,0.9999999923555123,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,4096,0.75,0.02346211304399537,0.011183429339611955,0.013126136739235073,0.16017225395415302,0.15158572515440089,0.16935715652964997,1.1737130302904495,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,4096,0.5,0.04692422608799074,0.011183429339611955,0.016748428115827857,0.4038712505594537,0.3856691150740014,0.42314528341673585,1.4976111179514997,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,4096,0.25,0.07038633913198611,0.011183429339611955,0.020962681292826447,0.6283106160704581,0.6030611017613289,0.6546053643767542,1.8744412519848592,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,4096,0.0,0.09384845217598148,0.011183429339611955,0.02549290083226809,0.8239668551928325,0.7937062594773978,0.8552548930412976,2.2795244694730328,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,8192,1.0,0.0,0.010804300466465437,0.01080430040202559,-5.964277960401887e-09,-2.0540766576537806e-08,8.52027444153691e-09,0.999999994035722,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,8192,0.75,0.02346211304399537,0.010804300466465437,0.012752567367690875,0.16578836729319324,0.1597889342582019,0.1722827330892498,1.1803232802783017,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,8192,0.5,0.04692422608799074,0.010804300466465437,0.016392456007158444,0.4168769832219539,0.4038914201707283,0.4307104655282471,1.5172158584479964,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,8192,0.25,0.07038633913198611,0.010804300466465437,0.020632639717301386,0.646930027959089,0.6293678361728506,0.6656430380003032,1.9096691897213809,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,8192,0.0,0.09384845217598148,0.010804300466465437,0.02519393204193928,0.8466589273233622,0.8257053065509248,0.8686982940837745,2.331842965690987,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,16384,1.0,0.0,0.01081115041303732,0.01081115036612139,-4.3395873561280496e-09,-1.4173071360978895e-08,6.2190623317803785e-09,0.9999999956604126,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,16384,0.75,0.02346211304399537,0.01081115041303732,0.01276662221709176,0.16625607864616399,0.16179194398462507,0.1704604994950613,1.1808754599969593,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,16384,0.5,0.04692422608799074,0.01081115041303732,0.016409638457021345,0.4172908258134598,0.40786370759816415,0.42607865444109044,1.5178438769321658,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,16384,0.25,0.07038633913198611,0.01081115041303732,0.020651651221305318,0.6472172313247175,0.6342929153469736,0.659166064425091,1.9102177319077165,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,ID,16384,0.0,0.09384845217598148,0.01081115041303732,0.025213888866068474,0.846816940995073,0.8314036532183111,0.8608650586207262,2.3322114578724835,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,1024,1.0,0.0,0.010262477954459275,0.010262478039305734,8.267639017844886e-09,-1.4965947192635554e-08,3.32474539455063e-08,1.000000008267639,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,1024,0.75,0.021759312486227894,0.010262477954459275,0.011558015455093705,0.11888484846036906,0.10639943357624668,0.13220095189548212,1.1262402225255448,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,1024,0.5,0.04351862497245579,0.010262477954459275,0.014093465643590241,0.3172169338233708,0.2865369362558954,0.34789573876337276,1.3733004549321661,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,1024,0.25,0.06527793745868368,0.010262477954459275,0.0171596493762341,0.5140663346191854,0.46868353734951657,0.5580184228987041,1.6720766127227438,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
w16/150k,OOD,1024,0.0,0.08703724994491158,0.010262477954459275,0.020497831063832638,0.6918247521712084,0.6348681666771991,0.7455951555817958,1.9973568912687294,analysis_outputs/esen_irrep_ood_2026_08_22/eval/full_alpha_curves.csv
