l4_id,l4_width,l4_step,l4_flops,l4_force_loss_neutral,l2_id,l2_width,l2_step,l2_flops,l2_force_loss_neutral,compute_ratio_l2_over_l4,log10_compute_difference,matching_rule,valid_match,l2_is_frontier_owner,l4_is_beyond_C_common_max
esen_lmax4_w16_s11000,16,11000,8233573573487101.0,0.0166942876274052,esen_lmax2_w16_s44500,16,44500,8279644179810810.0,0.0100962168638708,1.0055954569316123,0.002423302631373361,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s11500,16,11500,8610187776261378.0,0.0162625138324687,esen_lmax2_w16_s46500,16,46500,8652475100818556.0,0.009739803343672,1.0049113126979374,0.0021277352834117498,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s12000,16,12000,8986355504284586.0,0.0158309743924638,esen_lmax2_w16_s48500,16,48500,9025511630153062.0,0.0093836626249008,1.0043572865384423,0.0018882346909194195,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s12500,16,12500,9361686470334830.0,0.0154323450165454,esen_lmax2_w16_s50000,16,50000,9304792050891542.0,0.00911889731221,0.9939226313951472,-0.002647420497954153,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w8_s25000,8,25000,9551483695195872.0,0.011699229207962,esen_lmax2_w16_s50000,16,50000,9304792050891542.0,0.00911889731221,0.9741724268002039,-0.011364166960911028,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s18000,16,18000,1.3482950538730202e+16,0.0116263247862905,esen_lmax2_w48_s25000,48,25000,1.3333312697161478e+16,0.0078434934127133,0.988901699139303,-0.004846876899435729,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s18500,16,18500,1.3856899723774472e+16,0.011313159932064,esen_lmax2_w16_s75000,16,75000,1.396029850622049e+16,0.0064739975150041,1.0074618987296715,0.0032286305110601843,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s19000,16,19000,1.4231963582955248e+16,0.0110161850391833,esen_lmax2_w16_s75000,16,75000,1.396029850622049e+16,0.0064739975150041,0.980911623673622,-0.008370119103058876,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s19500,16,19500,1.4605464564401398e+16,0.0106994099186423,esen_lmax2_w16_s75000,16,75000,1.396029850622049e+16,0.0064739975150041,0.9558270772329007,-0.01962067069086046,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s20000,16,20000,1.4981944349317416e+16,0.0103731664572734,esen_lmax2_w16_s75000,16,75000,1.396029850622049e+16,0.0064739975150041,0.931808193964926,-0.030673474851410466,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
