arch,width,step,seed,run_id,run_name,C_flops,used_in_valid_pair,checkpoint_path
lmax4,16,20000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.4981944349317416e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=20000.ckpt
lmax4,16,20500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.5357732163201038e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=20500.ckpt
lmax4,16,21000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.5733252870215194e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=21000.ckpt
lmax4,16,21500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.6107530536199264e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=21500.ckpt
lmax4,16,22000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.6480914820469434e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=22000.ckpt
lmax4,16,22500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.6856397492848454e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=22500.ckpt
lmax4,16,23000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.7230053638317482e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=23000.ckpt
lmax4,16,23500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.7603468609622818e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=23500.ckpt
lmax4,16,24000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.7976237856554388e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=24000.ckpt
lmax4,16,24500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.8352342913871976e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=24500.ckpt
lmax4,16,25000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.872664219044419e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=25000.ckpt
lmax4,16,25500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.9100585756735544e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=25500.ckpt
lmax4,8,50000,1,9897808,esen-sphere-8-neutral-epoch,1.9104789619204656e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=50000.ckpt
lmax4,4,100000,1,9714661,esen-sphere-4-neutral-epoch,2.029522048725557e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-4-neutral-epoch/esen/run_9714661_params_456.5_thousand/dim_32_step_step=100000.ckpt
lmax4,16,32000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.397277065207738e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=32000.ckpt
lmax4,10,50000,1,9741255,esen-sphere-10-neutral-epoch,2.3989785957410084e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-10-neutral-epoch/esen/run_9741255_params_1.1_million/dim_32_step_step=50000.ckpt
lmax4,16,35000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.6221289245616908e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=35000.ckpt
lmax4,16,35500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.6595572098142132e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=35500.ckpt
lmax4,16,36000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.697055426929972e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=36000.ckpt
lmax4,16,36500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.734263024856361e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=36500.ckpt
lmax4,16,37000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.771943203124298e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=37000.ckpt
lmax4,16,37500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.8096180219663756e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=37500.ckpt
lmax4,16,38000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,2.8469790118474156e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=38000.ckpt
