owner_id,checkpoint_path,seed,width_sphere_channels,step,N_trainable_params,D_atom_tokens,C_flops,force_mse_norm_full_neutral_val,first_budget_owned_Cflops,last_budget_owned_Cflops_exclusive,unbounded_top_owner,source
esen_lmax4_w16_s32000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=32000.ckpt,1,16,32000,1722258,55465336,2.397277065207738e+16,0.0065193492958863,2.397277065207738e+16,2.3989785957410084e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w10_s50000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-10-neutral-epoch/esen/run_9741255_params_1.1_million/dim_32_step_step=50000.ckpt,1,10,50000,1089390,86650769,2.3989785957410084e+16,0.006056270889016389,2.3989785957410084e+16,2.6221289245616908e+16,False,stage3b_2026_08_16_frozen_owner_reused
esen_lmax4_w16_s35000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=35000.ckpt,1,16,35000,1722258,60667690,2.6221289245616908e+16,0.0059836699714584,2.6221289245616908e+16,2.6595572098142132e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s35500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=35500.ckpt,1,16,35500,1722258,61533661,2.6595572098142132e+16,0.0059007574594687,2.6595572098142132e+16,2.697055426929972e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s36000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=36000.ckpt,1,16,36000,1722258,62401250,2.697055426929972e+16,0.0058186695472483,2.697055426929972e+16,2.734263024856361e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s36500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=36500.ckpt,1,16,36500,1722258,63262115,2.734263024856361e+16,0.0057418877943811,2.734263024856361e+16,2.771943203124298e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s37000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=37000.ckpt,1,16,37000,1722258,64133914,2.771943203124298e+16,0.0056666454807618,2.771943203124298e+16,2.8096180219663756e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s37500,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=37500.ckpt,1,16,37500,1722258,65005589,2.8096180219663756e+16,0.0055978492691582,2.8096180219663756e+16,2.8469790118474156e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w16_s38000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=38000.ckpt,1,16,38000,1722258,65870003,2.8469790118474156e+16,0.0055341296606467,2.8469790118474156e+16,2.86635708271508e+16,False,empirical_lmax_adversarial_audit_2026_08_13
esen_lmax4_w8_s75000,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=75000.ckpt,1,8,75000,878434,130023779,2.86635708271508e+16,0.0050666550842869,2.86635708271508e+16,3.044672799278153e+16,False,empirical_lmax_adversarial_audit_2026_08_13
