l4_flops,l2_flops,matched_compute,domain,H_force,ci_low,ci_high,ci_note,H_force_bootstrap_M16384_ID_pool_cross_check,ci_low_bootstrap_M16384_ID_pool,ci_high_bootstrap_M16384_ID_pool,valid_match,l4_width,l4_step,l2_width,l2_step
1.3482950538730202e+16,1.3333312697161478e+16,True,Neutral_val,-0.39358758161787666,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.14829319932962814,-0.1521527079169349,-0.14421261407539718,True,16,18000,48,25000
1.3482950538730202e+16,1.3333312697161478e+16,True,Val_Comp_support_matched,-0.04505511444387311,-0.049901469318391914,-0.04051896019564669,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,18000,48,25000
1.3856899723774472e+16,1.396029850622049e+16,True,Neutral_val,-0.5581728721990311,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2493731891572426,-0.2539682174474219,-0.24459228698473048,True,16,18500,16,75000
1.3856899723774472e+16,1.396029850622049e+16,True,Val_Comp_support_matched,-0.19331844567098955,-0.2028370635467748,-0.18347353666794905,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,18500,16,75000
1.4231963582955248e+16,1.396029850622049e+16,True,Neutral_val,-0.5315717869352161,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.23734725750681918,-0.24190612996880131,-0.23259206498471524,True,16,19000,16,75000
1.4231963582955248e+16,1.396029850622049e+16,True,Val_Comp_support_matched,-0.1824584228067958,-0.19174239374507934,-0.17282992539865621,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,19000,16,75000
1.4605464564401398e+16,1.396029850622049e+16,True,Neutral_val,-0.5023948204951783,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.22515283890817672,-0.22965808691386988,-0.22052330951632462,True,16,19500,16,75000
1.4605464564401398e+16,1.396029850622049e+16,True,Val_Comp_support_matched,-0.1713394496672329,-0.18039858969681605,-0.1619721749430182,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,19500,16,75000
1.4981944349317416e+16,1.396029850622049e+16,True,Neutral_val,-0.4714285518273629,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.21299712773024915,-0.21743091839084752,-0.20842236915183698,True,16,20000,16,75000
1.4981944349317416e+16,1.396029850622049e+16,True,Val_Comp_support_matched,-0.160541585763061,-0.16940720547067828,-0.1514143474166576,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,20000,16,75000
1.5357732163201038e+16,1.396029850622049e+16,True,Neutral_val,-0.44225835932564284,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.20136062289865597,-0.20575828030448906,-0.19677217270696074,True,16,20500,16,75000
1.5357732163201038e+16,1.396029850622049e+16,True,Val_Comp_support_matched,-0.1511544862516514,-0.1598104956305989,-0.14215754077371792,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,20500,16,75000
1.5733252870215194e+16,1.721684478261946e+16,True,Neutral_val,-0.5152461939527093,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.27068951984498923,-0.2755920217393425,-0.26576153495887156,True,16,21000,20,75000
1.5733252870215194e+16,1.721684478261946e+16,True,Val_Comp_support_matched,-0.23571459401396666,-0.24383204425317148,-0.22720087189459914,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,21000,20,75000
1.6107530536199264e+16,1.721684478261946e+16,True,Neutral_val,-0.4892458739296437,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.25991820449035696,-0.2647177374583191,-0.2550488425132993,True,16,21500,20,75000
1.6107530536199264e+16,1.721684478261946e+16,True,Val_Comp_support_matched,-0.22605086727718238,-0.23400016595610995,-0.21767879287055128,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,21500,20,75000
1.6480914820469434e+16,1.721684478261946e+16,True,Neutral_val,-0.466304420555514,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.24931173516042504,-0.25403385966923586,-0.2445008804175448,True,16,22000,20,75000
1.6480914820469434e+16,1.721684478261946e+16,True,Val_Comp_support_matched,-0.21561980295026517,-0.2235271661692317,-0.20738397899031227,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,22000,20,75000
1.6856397492848454e+16,1.721684478261946e+16,True,Neutral_val,-0.44277441663558914,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.23882743224543734,-0.2435597078153205,-0.2340286780034494,True,16,22500,20,75000
1.6856397492848454e+16,1.721684478261946e+16,True,Val_Comp_support_matched,-0.2061843526802778,-0.21397930637950688,-0.19812660721278286,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,22500,20,75000
1.7230053638317482e+16,1.721684478261946e+16,True,Neutral_val,-0.42052448179559754,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2286954322591872,-0.23344825136999142,-0.22396941186483546,True,16,23000,20,75000
1.7230053638317482e+16,1.721684478261946e+16,True,Val_Comp_support_matched,-0.19711522187548525,-0.20480176991592997,-0.18917180812421258,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,23000,20,75000
1.7603468609622818e+16,1.7836690622685352e+16,True,Neutral_val,-0.4156393112612946,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.23684350613090865,-0.24181583996956668,-0.231828734070874,True,16,23500,12,125000
1.7603468609622818e+16,1.7836690622685352e+16,True,Val_Comp_support_matched,-0.2081780244208189,-0.21851929814909016,-0.19743322923188558,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,23500,12,125000
1.7976237856554388e+16,1.7836690622685352e+16,True,Neutral_val,-0.3921536175000515,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2268312996232562,-0.23185667603791354,-0.22179320177610132,True,16,24000,12,125000
1.7976237856554388e+16,1.7836690622685352e+16,True,Val_Comp_support_matched,-0.19945593782048432,-0.2096280291638953,-0.1888420177222454,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,24000,12,125000
1.8352342913871976e+16,1.861018557324341e+16,True,Neutral_val,-0.47576157774635597,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.22587529537364626,-0.23049356420120606,-0.22117948184115027,True,16,24500,16,100000
1.8352342913871976e+16,1.861018557324341e+16,True,Val_Comp_support_matched,-0.1716611469209708,-0.18264199470758272,-0.16059154525334804,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,24500,16,100000
1.872664219044419e+16,1.861018557324341e+16,True,Neutral_val,-0.45392804172096834,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.21641708956849293,-0.22099094823654428,-0.21176059955935184,True,16,25000,16,100000
1.872664219044419e+16,1.861018557324341e+16,True,Val_Comp_support_matched,-0.16309643026584508,-0.17400956873816398,-0.1520294280828171,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,25000,16,100000
1.9100585756735544e+16,1.861018557324341e+16,True,Neutral_val,-0.43364851276831917,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.20703011809416383,-0.21159062795806222,-0.2024276675817962,True,16,25500,16,100000
1.9100585756735544e+16,1.861018557324341e+16,True,Val_Comp_support_matched,-0.1540352877518485,-0.16485326789329627,-0.14300117294845166,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,25500,16,100000
1.9104789619204656e+16,1.861018557324341e+16,True,Neutral_val,-0.3046821566523432,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.14831271080134467,-0.15290378358136741,-0.14415384983937282,True,8,50000,16,100000
1.9104789619204656e+16,1.861018557324341e+16,True,Val_Comp_support_matched,-0.10715763197585293,-0.11720402156518973,-0.096861097301792,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,8,50000,16,100000
2.029522048725557e+16,2.1403230903730572e+16,True,Neutral_val,-0.26036856117362106,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.20947389596331067,-0.21473557343235722,-0.20447086251321367,True,4,100000,12,150000
2.029522048725557e+16,2.1403230903730572e+16,True,Val_Comp_support_matched,-0.16267808132467554,-0.17200307075002008,-0.15322424274480653,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,4,100000,12,150000
2.397277065207738e+16,2.3263386531130812e+16,True,Neutral_val,-0.39058059385383714,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.18566845499364026,-0.1902433512587081,-0.18091424852280308,True,16,32000,16,125000
2.397277065207738e+16,2.3263386531130812e+16,True,Val_Comp_support_matched,-0.13963637635926718,-0.15220386115384155,-0.12682168010645092,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,32000,16,125000
2.3989785957410084e+16,2.3263386531130812e+16,True,Neutral_val,-0.3169002699579675,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.20255246248053282,-0.20667600301881406,-0.19832042575227052,True,10,50000,16,125000
2.3989785957410084e+16,2.3263386531130812e+16,True,Val_Comp_support_matched,-0.16307375599906138,-0.1741071262813293,-0.1521808812396674,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,10,50000,16,125000
2.6221289245616908e+16,2.6669169119187452e+16,True,Neutral_val,-0.3901950969986334,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.17422053256819625,-0.17872856187649605,-0.16949370459397767,True,16,35000,48,50000
2.6221289245616908e+16,2.6669169119187452e+16,True,Val_Comp_support_matched,-0.08934123525585136,-0.095163571231304,-0.08356493803790659,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,35000,48,50000
2.6595572098142132e+16,2.6669169119187452e+16,True,Neutral_val,-0.3762417353079348,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.1676960522260056,-0.17221702027293165,-0.16299079167577393,True,16,35500,48,50000
2.6595572098142132e+16,2.6669169119187452e+16,True,Val_Comp_support_matched,-0.08281816253866836,-0.0885858230739242,-0.07704001369957936,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,35500,48,50000
2.697055426929972e+16,2.6669169119187452e+16,True,Neutral_val,-0.36223264515704745,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.16124295485731244,-0.16577818502533997,-0.1565345886839521,True,16,36000,48,50000
2.697055426929972e+16,2.6669169119187452e+16,True,Val_Comp_support_matched,-0.07625417634780751,-0.08205362214797089,-0.07049089399135482,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,36000,48,50000
2.734263024856361e+16,2.7915023255225744e+16,True,Neutral_val,-0.37736114314863567,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.19471379345559825,-0.19962002565055667,-0.18983481607159336,True,16,36500,16,150000
2.734263024856361e+16,2.7915023255225744e+16,True,Val_Comp_support_matched,-0.14369714507051734,-0.1581787873730409,-0.12884782289050528,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,36500,16,150000
2.771943203124298e+16,2.7915023255225744e+16,True,Neutral_val,-0.364170419541165,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.18840721506801517,-0.19328133364646788,-0.1835266054376803,True,16,37000,16,150000
2.771943203124298e+16,2.7915023255225744e+16,True,Val_Comp_support_matched,-0.1376540334836509,-0.1521868016463929,-0.12277717189742811,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,37000,16,150000
2.8096180219663756e+16,2.7915023255225744e+16,True,Neutral_val,-0.3519555677417765,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.18231135054340486,-0.1871790372966231,-0.1774223328425882,True,16,37500,16,150000
2.8096180219663756e+16,2.7915023255225744e+16,True,Val_Comp_support_matched,-0.13218303939786535,-0.1466910814587804,-0.11725329542288392,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,37500,16,150000
2.8469790118474156e+16,2.8690082439576276e+16,True,Neutral_val,-0.3797585844880951,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.20640556788933706,-0.21210788640160827,-0.20118234415521674,True,16,38000,20,125000
