tag,domain,M,n_configs,P_bal_read_x,L_base,L_intervened,relative_effect_log_ratio,relative_effect_ci_lo,relative_effect_ci_hi,absolute_excess_A,absolute_excess_A_ci_lo,absolute_excess_A_ci_hi,source_file
w16/150k,OOD,4096,4096,0.0726834500856088,0.010997525433061301,0.019028329142219143,0.5482585893435103,0.5237857521455465,0.5731406972580528,0.008030803709157841,0.007910136460359131,0.008145110885629584,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,OOD,8192,8192,0.0726834500856088,0.010908807261979977,0.018987646889422397,0.5542181353432711,0.5373911252669732,0.5710162808109384,0.00807883962744242,0.007992521720407972,0.00816951014636525,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w16/150k,OOD,16384,16384,0.0726834500856088,0.0109531603434369,0.019056729773990876,0.5537922777038593,0.54019327224694,0.5663672179425226,0.008103569430553976,0.008039374576390989,0.008165572143775364,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,ID,1024,1024,0.0726834500856088,0.009453774302136066,0.021303529697643,0.8124587136714643,0.7442466958002849,0.8888438889242004,0.011849755395506935,0.011074342837201724,0.012646177488420991,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,ID,2048,2048,0.0726834500856088,0.009051002707521806,0.020970306813280028,0.8402319278788836,0.7886377876486173,0.8920804088965989,0.011919304105758222,0.011328262624826918,0.012504306113409277,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,ID,4096,4096,0.0726834500856088,0.008907988242511058,0.020613696199886813,0.8390072894290254,0.8050483953264634,0.87550881044971,0.011705707957375754,0.01132251303183695,0.012124227460970322,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,ID,8192,8192,0.0726834500856088,0.008587110349233634,0.020476118751007147,0.8689969857607207,0.8452648269108041,0.8938136822199517,0.011889008401773513,0.01160912950274842,0.012189233216408484,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,ID,16384,16384,0.0726834500856088,0.008571066380358823,0.020506391634268466,0.8723444679371816,0.8552019195285735,0.890475425168814,0.011935325253909643,0.011730934058834653,0.012137068963078418,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,OOD,1024,1024,0.0726834500856088,0.008487063465107808,0.01673585143879037,0.679010152218126,0.61390176384073,0.7356721079892165,0.008248787973682564,0.008007856809756141,0.008498362011600263,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,OOD,2048,2048,0.0726834500856088,0.00860256393672702,0.016927076139385388,0.6768541872951461,0.6355773626212082,0.7156970348397491,0.008324512202658368,0.008150214445698661,0.008507956953934198,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,OOD,4096,4096,0.0726834500856088,0.009097337457567885,0.017474913708121518,0.6527845664584833,0.6248002143549328,0.6805249315539353,0.008377576250553633,0.008239918978751797,0.008517353029951288,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,OOD,8192,8192,0.0726834500856088,0.009069236411095687,0.017479421719301738,0.6561362150901671,0.6369901602461794,0.6754499136575034,0.008410185308206052,0.00831265784751639,0.00851405596096241,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w20/200k,OOD,16384,16384,0.0726834500856088,0.00915064874230513,0.017557958686446412,0.6516825559527311,0.6366715466629381,0.6657769045114509,0.008407309944141282,0.008334071950495237,0.008474985118847898,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,ID,1024,1024,0.0726834500856088,0.007693661714181817,0.014023361793190072,0.6003278025167418,0.538426550103285,0.6684240853661048,0.006329700079008255,0.005875655553188705,0.006802194210964289,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,ID,2048,2048,0.0726834500856088,0.007236118147751373,0.013659237397017953,0.6353311299623224,0.588883386554672,0.6835249914071809,0.006423119249266579,0.006072814489695893,0.0067782725683513114,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,ID,4096,4096,0.0726834500856088,0.007136516415827598,0.013410419239582189,0.630807199661999,0.600510207284535,0.6640081475143739,0.006273902823754591,0.006047653962301888,0.006522200837249864,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,ID,8192,8192,0.0726834500856088,0.006889365684451093,0.013220154015613238,0.6517634669805064,0.6295875239823457,0.6743756950235299,0.006330788331162145,0.006163860269801084,0.006504285041874711,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,ID,16384,16384,0.0726834500856088,0.00686766193637755,0.01322514561285433,0.6552962692922902,0.6392623192161309,0.6717083049976147,0.0063574836764767806,0.006242062885985503,0.006475753831049559,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,OOD,1024,1024,0.0726834500856088,0.0067027871027343046,0.010764606846215819,0.4737401832828934,0.42388987235231346,0.5185025175232056,0.004061819743481515,0.0039427081305804645,0.00418219980130459,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,OOD,2048,2048,0.0726834500856088,0.006870332191722977,0.01092493452399235,0.46383528870861923,0.43084845889181755,0.49472309585799884,0.0040546023322693735,0.003968883428522478,0.004151130018984581,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,OOD,4096,4096,0.0726834500856088,0.007224843066238555,0.011311640773242008,0.44830683956809697,0.42766809849295334,0.46960034606526585,0.004086797707003453,0.0040170809694884515,0.004157033453004349,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,OOD,8192,8192,0.0726834500856088,0.007202173166130731,0.011278171488817563,0.4484863217645934,0.4339689551759329,0.46340099484116776,0.004075998322686832,0.004022571474754089,0.004131063620405409,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
w24/300k,OOD,16384,16384,0.0726834500856088,0.00728752264148344,0.011371845900423389,0.4449769843426989,0.43347756349702365,0.4555571800639549,0.004084323258939948,0.004047304101083505,0.004120128440701951,analysis_outputs/esen_irrep_ood_2026_08_22/robustness/baseline_effect_robustness.csv
